City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,sihanoukville,10.6093,103.5296,32.97,70,40,1.54,KH,1683786390
331,ambovombe,-25.1667,46.0833,24.5,65,80,1.21,MG,1683786391
332,port douglas,-16.4833,145.4667,24.8,75,62,5.8,AU,1683786391
333,faya-largeau,17.9257,19.1043,29.56,17,50,10.09,TD,1683786391
334,hola,51.5377,23.1902,11.57,69,9,4.76,PL,1683786391
335,salinopolis,-0.6136,-47.3561,26.09,86,95,3.72,BR,1683786391
336,sinop,41.7711,34.8709,6.24,96,100,1.56,TR,1683785853
337,marsassoum,12.8275,-15.9806,25.05,70,42,3.14,SN,1683786391
338,kupang,-10.1667,123.5833,31.32,62,40,9.26,ID,1683786391
339,marquette,46.5333,-87.6335,12.65,93,73,0.89,US,1683786392
340,sanming,26.2486,117.6186,20.18,97,100,0.66,CN,1683786392
341,new plymouth,-39.0667,174.0833,9.2,100,84,5.8,NZ,1683786392
342,chaihe,44.7667,129.7,20.25,22,0,2.54,CN,1683786392
343,ketchikan,55.3422,-131.6461,10.26,76,75,4.12,US,1683786392
344,greymouth,-42.4667,171.2,9.22,62,22,2.11,NZ,1683786392
345,valparaiso,-33.0393,-71.6273,15.0,65,0,1.54,CL,1683785909
346,kavaratti,10.5669,72.642,29.74,63,97,3.69,IN,1683785865
347,tvoroyri,61.5556,-6.8111,8.64,83,49,2.14,FO,1683786392
348,bomdila,27.25,92.4,19.76,40,14,3.74,IN,1683786393
349,mchinji,-13.7984,32.8802,17.93,65,88,1.53,MW,1683786393
350,jawf al maqbabah,13.8378,45.8349,26.35,57,63,0.77,YE,1683786393
351,adh dhayd,25.2881,55.8816,37.37,12,0,6.15,AE,1683786393
352,kyren,51.6828,102.1408,9.6,52,98,0.68,RU,1683785534
353,okhotsk,59.3833,143.3,2.74,82,58,3.97,RU,1683786393
354,mount gambier,-37.8333,140.7667,16.96,53,18,3.99,AU,1683785913
355,dapa,9.7594,126.0531,29.83,67,67,2.08,PH,1683786393
356,al hasakah,36.5024,40.7477,28.48,20,53,4.65,SY,1683786393
357,pierre,44.3683,-100.351,16.03,85,0,2.68,US,1683786151
358,porto-vecchio,41.591,9.2795,16.81,72,0,5.14,FR,1683786394
